Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000022215.6	Fitm1	2.000527125	0.0218085	3.97924575	2.28480237909934	1.25408050494616	5.69591893214323	1.22709177374083e-08	3.08051164032855e-06
ENSMUSG00000040488.17	Ltbp4	31.645225	24.86195	38.4285	0.608407767297005	0.110727947225159	5.68018206002629	1.34551444409979e-08	3.34297918585618e-06
ENSMUSG00000022225.7	Cma1	1.791471125	0.64058975	2.9423525	1.26484225873221	0.41693526600635	5.66909200880664	1.43556263330307e-08	3.53031219006163e-06
ENSMUSG00000027022.13	Xirp2	0.73372275	0.09959975	1.36784575	1.10659661771809	0.689042916626899	5.65584208539499	1.55084008564655e-08	3.77527738021028e-06
ENSMUSG00000023092.16	Fhl1	20.9505625	14.3801	27.521025	0.890960947263595	0.191783842267472	5.65248943158087	1.5814052487282e-08	3.81118664943497e-06
ENSMUSG00000027750.16	Postn	591.07525	433.79625	748.35425	0.785308402556558	0.145635580273486	5.6497317653821	1.60698390942144e-08	3.83448635812443e-06
ENSMUSG00000004105.8	Angptl2	35.5840375	26.792625	44.37545	0.707209847933637	0.149528020728855	5.64007740423905	1.69973737956402e-08	4.01604616151891e-06
ENSMUSG00000004044.9	Cavin1	46.1059625	40.192475	52.01945	0.364140893015715	0.0878522839995161	5.61856838939326	1.92546180427385e-08	4.50520674592231e-06
ENSMUSG00000030074.9	Gxylt2	44.5847625	40.919475	48.25005	0.232504540574512	0.0639580988031942	5.59302625520204	2.2314553105232e-08	5.17096855611626e-06
ENSMUSG00000033196.17	Myh2	5.842166	0.3863295	11.2980025	3.14908190501756	0.898268634265472	5.58221920777384	2.37468807359074e-08	5.45047453081303e-06
ENSMUSG00000001911.16	Nfix	44.1670875	39.229575	49.1046	0.316686563473473	0.0810848848589226	5.56661311952704	2.59738190751699e-08	5.90536829916598e-06
ENSMUSG00000030536.10	Iqgap1	53.21215	60.5578	45.8665	-0.393384614369436	0.0488811657407314	-5.56432889018444	2.63163205443857e-08	5.92732079551118e-06
ENSMUSG00000030116.14	Mfap5	1.772251125	0.45988475	3.0846175	1.48434650429878	0.487545801171781	5.56099663780904	2.68238365706396e-08	5.9856894569668e-06
ENSMUSG00000026208.9	Des	8.26021375	2.08232	14.4381075	2.32440735652755	0.566089983832808	5.54900350402747	2.87302421015239e-08	6.35228288666722e-06
ENSMUSG00000031636.7	Pdlim3	3.6124115	1.0443805	6.1804425	1.81240901832286	0.513720310823749	5.53955625277235	3.03239031837413e-08	6.64369151571058e-06
ENSMUSG00000026668.10	Ucma	6.080340875	11.637245	0.52343675	-3.05228047246191	0.73782512259333	-5.5360473617697	3.09373940091443e-08	6.71703779838178e-06
ENSMUSG00000023036.14	Pcdhgc4	41.56075	34.53015	48.59135	0.481044720232717	0.107358821241895	5.51167439948179	3.55435997838074e-08	7.64822102490856e-06
ENSMUSG00000024529.13	Lox	263.301125	227.92675	298.6755	0.388515089910339	0.0939937173485917	5.45827081082124	4.80793955906909e-08	1.02541011835013e-05
ENSMUSG00000051855.15	Mest	52.439675	46.164875	58.714475	0.34036784410248	0.0892494281655893	5.4558939507408	4.87270696185033e-08	1.03010734895257e-05
ENSMUSG00000046312.4	AI464131	4.9296475	4.0650125	5.7942825	0.423755375919684	0.114038574648294	5.45128141985579	5.00081606312582e-08	1.04799710540289e-05
ENSMUSG00000027239.14	Mdk	77.7659125	66.43695	89.094875	0.417905753052406	0.100563489584864	5.44495552621444	5.18183308638556e-08	1.07657049467148e-05
ENSMUSG00000020810.5	Cygb	6.588625	5.0163575	8.1608925	0.606597863312073	0.152131663317318	5.43855073002904	5.37157159546038e-08	1.10645192692816e-05
ENSMUSG00000032523.11	Hhatl	1.2573435	0.068933	2.445754	1.68864827930968	0.951888497527251	5.43574016127713	5.45694292795604e-08	1.11451122511645e-05
ENSMUSG00000018830.9	Myh11	5.48333625	3.84076	7.1259125	0.747296261075174	0.184008489830365	5.4263171037473	5.75287159271541e-08	1.16507735617178e-05
ENSMUSG00000030287.15	Itpr2	6.39945	7.55676	5.24214	-0.455023911760235	0.0746557707146112	-5.41979723702177	5.96666691250541e-08	1.19830560492817e-05
ENSMUSG00000033491.13	Prss35	92.411025	68.9863	115.83575	0.739337341465642	0.161322158511797	5.40329562376136	6.54274951092543e-08	1.30314267118432e-05
ENSMUSG00000075270.11	Pde11a	0.383065625	0.672354	0.09377725	-0.61256130585781	0.570559762606231	-5.38655679273227	7.18202425125982e-08	1.41215038479138e-05
ENSMUSG00000002111.8	Spi1	80.08115	93.8805	66.2818	-0.495895309854823	0.0581678251457582	-5.38480870057386	7.25217374792431e-08	1.41215038479138e-05
ENSMUSG00000033044.12	Dhrs7c	3.33285575	0.383314	6.2823975	2.3962848178946	0.812297545443232	5.38447014993546	7.26583600473575e-08	1.41215038479138e-05
ENSMUSG00000101249.1	Gm29216	10556.055	9014.02	12098.09	0.424495945792884	0.106101861594267	5.36993934833913	7.87631271559072e-08	1.51855309156589e-05
ENSMUSG00000036218.16	Pdzrn4	1.824278625	1.09943475	2.5491225	0.757461420500848	0.258869591385794	5.3587438511945	8.38025699413034e-08	1.6003880501654e-05
ENSMUSG00000007097.14	Atp1a2	4.2014465	0.9970555	7.4058375	2.0735171397077	0.58924443579491	5.35759762246997	8.43358018136954e-08	1.6003880501654e-05
ENSMUSG00000024621.15	Csf1r	122.99965	146.63425	99.36505	-0.556770485486421	0.0836470062205744	-5.33133141434581	9.74953047493794e-08	1.83565378473441e-05
