Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000033508.7	Asprv1	5.901596	1.99555	9.807642	1.85115897226019	0.284143785760499	6.8877718642257	5.66729981193527e-12	2.69039316072149e-09
ENSMUSG00000040314.2	Ctsg	67.53672	37.35024	97.7232	1.3641535522606	0.163864852228751	6.88470271115191	5.79083396281884e-12	2.71137951848148e-09
ENSMUSG00000023885.8	Thbs2	29.43426	41.65538	17.21314	-1.2277480472697	0.212101120164967	-6.87467415822179	6.21317103272855e-12	2.86981332295489e-09
ENSMUSG00000029185.14	Fam114a1	21.03994	27.21318	14.8667	-0.830367182294744	0.197365450288758	-6.86297294255604	6.74420047257224e-12	3.07355696203359e-09
ENSMUSG00000020585.4	Laptm4a	46.6696	57.69304	35.64616	-0.679527402078008	0.145625853699737	-6.85881319451561	6.94349636882083e-12	3.12274613008284e-09
ENSMUSG00000005124.10	Wisp1	36.98555	48.4425	25.5286	-0.89820315131688	0.19814608983076	-6.84124081519705	7.85101479052051e-12	3.48503487714274e-09
ENSMUSG00000020986.13	Sec23a	15.644788	20.19608	11.093496	-0.809566117028131	0.175011486901268	-6.83316957153802	8.30586769803686e-12	3.63967381947307e-09
ENSMUSG00000001555.10	Fkbp10	29.33396	40.02758	18.64034	-1.0627741549794	0.237008957614888	-6.82595609959715	8.73416382303527e-12	3.77890784140944e-09
ENSMUSG00000037852.8	Cpe	51.7953	70.4462	33.1444	-1.06520829844616	0.226094608415322	-6.82245617935142	8.94969347279375e-12	3.82375653625113e-09
ENSMUSG00000052316.9	Lrrc15	3.416326	5.127816	1.704836	-1.17983185507951	0.247364747705157	-6.8165615749523	9.32452715180794e-12	3.93472022282464e-09
ENSMUSG00000056214.8	Pard6g	5.874545	8.141218	3.607872	-0.988285765222569	0.229195895582893	-6.80816788833299	9.88494702197801e-12	4.09776139680029e-09
ENSMUSG00000079055.10	Slc8a3	13.821451	18.67878	8.964122	-0.981826191486757	0.235571179477754	-6.80721410910193	9.95067864056243e-12	4.09776139680029e-09
ENSMUSG00000024304.14	Cdh2	18.182626	24.61158	11.753672	-1.0058835733203	0.216933465971405	-6.80327889493955	1.02264395799779e-11	4.16118696242434e-09
ENSMUSG00000056486.18	Chn1	13.683326	18.3915	8.975152	-0.959013675038035	0.264086180104124	-6.78647971137732	1.14902654028958e-11	4.58223886842863e-09
ENSMUSG00000049130.6	C5ar1	12.962759	6.041018	19.8845	1.56857666818787	0.208883081758932	6.78598978011208	1.15293312663798e-11	4.58223886842863e-09
ENSMUSG00000048368.9	Omd	19.184679	25.85998	12.509378	-0.991496979034307	0.211370240079634	-6.77326637914035	1.2590681810786e-11	4.94654602635248e-09
ENSMUSG00000039196.2	Orm1	16.945294	7.250108	26.64048	1.74429775900987	0.238105482179058	6.77132825152896	1.27605382626816e-11	4.95630906611883e-09
ENSMUSG00000004668.14	Abca13	12.961238	6.108316	19.81416	1.54998561373031	0.180920347671584	6.72741855284245	1.72699442189777e-11	6.6324347573557e-09
ENSMUSG00000025151.16	Maged1	27.70199	37.86054	17.54344	-1.06739704487817	0.217491468697711	-6.72329876743385	1.77655781269764e-11	6.74697178200058e-09
ENSMUSG00000052212.6	Cd177	76.48744	38.23018	114.7447	1.56091027329992	0.188825142857554	6.67685586923054	2.44122820194778e-11	9.16936043325003e-09
